,full_game_appid,demo_appid,name
286,2419410,3164080,Sky Fury Demo
287,3117660,3163060,绯红编年史 ~ Chronicle of Scarlet ~ 试玩版
288,3138270,3163080,STUX.net Demo
289,2983140,3162210,Trials of Innocence DEMO
290,2880130,3162250,Sublimity Demo
291,2540650,3161620,Keyframes Demo
292,3069120,3161800,不恋爱就完蛋了Love Curse: Find Your Soulmate Demo
293,3136380,3161000,Space Menace 2 Demo
294,2992570,3160350,芙兰杂感记录 Demo
295,2929590,3160370,All Fridges Are Psychotic Demo
296,3160140,3160430,ENDER (Alpha)
297,3084620,3160100,Futariuum's Gate Demo
298,3041760,3159410,Procedural Studio Demo
299,3145370,3158960,Muffles' Life Sentence EPISODE 1
300,3145050,3158640,Blow Out Demo
301,2660240,3158780,CUPRUM2929 Demo
302,3109830,3158020,Peacequarium Demo
303,2997110,3158090,Slasher: Origins Demo
304,3138580,3158230,Transmorphosis Demo
305,3127480,3158250,CornField Demo
306,2892230,3157370,Box Zombies Demo
307,2369850,3155820,Dolven Demo
308,3146930,3155350,Aldoria Demo
309,2730540,3155230,Card-en-Ciel Demo
310,3068580,3155280,Divine Dynamo Flamefrit Demo
311,3118620,3154040,AERO BATTLE ROYALE Demo
312,2341620,3152510,Alpine Lake Demo
313,3145060,3152620,Never Stop Rolling Demo
314,3129150,3152080,Super Chillers: The Chat Room - DEMO
315,1526190,3152180,Mysteries of Shaola: The Cave Demo
316,1971900,3296020,ATOMIC TITANS DEMO
317,3293660,3295330,Cartier 06 Demo
318,3142280,3295400,浮生若梦-蜀宫 Demo
319,2645690,3295450,Kaidro: Clan Battles Demo
320,3290180,3295500,Adhvan Chakra Demo
321,3124020,3295660,Darby Is Here Forever Demo
322,3149530,3294470,Anarchy Hops Demo
323,3280980,3293840,Mimic Alert Demo
324,3190580,3293910,梦境少女demo
325,3150620,3293610,SOVIET SPOOKY TALES: Green Eyes Demo
326,2701070,3293200,Major\Minor 2.0: (Re)Vision Demo
327,2094090,3292450,Unreal Table Ball Demo
328,3166110,3292700,Clumsy Rocketship Demo
329,2349570,3291940,oneway.exe Demo
330,3292010,3292080,Isekai-ya Demo
331,3125710,3291590,Fake Ducks: Spooky Chronicles Demo
332,2102770,3291610,EvoLife Demo
333,3214530,3290170,Treasure 'n Trio Demo
334,3277610,3289030,Ahon - Short Demo
335,1637180,3288370,Yesterdreamt Demo
336,3115350,3287780,Spritz the Happy Onion Demo
337,3152600,3288080,Cave Of Horrors Demo
338,2483470,3287340,Cracked Demo
339,3287020,3287030,Fatrifice 3 Demo
340,3185790,3286400,Seeking My Fate: Medieval Fantasy Demo
341,2940830,3285560,Streets of Handbags Demo
342,3284880,3284950,Solitaire Flowerscapes Demo
343,2553580,3285160,Go Marbles! Demo
344,3019060,3284440,7Years Demo
345,3198400,3284060,Cat Tree Demo
346,2428920,3283390,Painted Peril Demo
347,1813980,3283400,Streetball Fury Demo
348,3204960,3283140,Bullet Noir Demo
349,3008890,3282620,Rolus in the Outskirts Demo
350,3205600,3281830,The Libido Enigma Demo
351,2075760,3282020,Mech Shuffle Demo
352,3194720,3281640,Chimera Capsule Demo
353,3051030,3281670,LEENIE'S TALE Demo
354,2559880,3280880,Z Ops: DeadZone - Demo
355,3179170,3279890,Mo 'n Fro Demo
356,3170550,3279660,相亲模拟器 Demo
357,2889740,3278800,Night Castle Demo
358,3190620,3279110,Byte The Dust Demo
359,1024120,3277680,Túatha Echos: The Village Demo
360,3187490,3277780,Symphony of the Stars Demo
361,2468950,3277960,"Bonding, Now - Demo"
362,3278000,3278030,Prophecrawl Demo
363,1748330,2111650,Sand: A Superfluous Game Demo
364,2099880,2110010,アプリヴァル　モノノ村開拓日記 Demo
365,2083330,2110100,An old school adventure fps - Go To Hell Demo
366,1668290,2110280,Dungeons of Aether Demo
367,2025610,2109760,Once Again Demo
368,2108080,2108170,Anant Shrankhla Demo
369,780390,2106710,Space Bob vs. The Replicons Demo
370,1582680,2106780,"Trolley Problem, Inc. Demo"
371,1960070,2106900,RIN - The Last Child Demo
372,1578720,2106310,Scrabdackle Demo
373,2021950,2106380,Scarpone Scamps Demo
374,1674120,2105710,Red Rust Demo
375,1918110,2104020,Simultaneous Control Demo
376,2067120,2104070,Jurassic Lab: Dinosarium DNA Demo
377,2103340,2103570,Paragon Pioneers Demo
378,1800230,2103030,Alternate Universe Demo
379,2097090,2102290,Snow Problem Demo
380,1544640,2102600,King of Sweets Demo
381,1723610,2101540,The Parasites Demo
382,1888070,2099840,Drain Mansion Demo
383,2008270,2099540,Biters & Bullets Demo
384,2096710,2098420,听不到你的话语的我，想要静静聆听你的心 Demo
385,1981570,2096590,Land of the Vikings Demo
386,2096730,2096760,Peebi Demo
387,2080450,2094460,The Empress Quest : Full Moons Saga Demo
388,2065090,2094030,John Brick Demo
389,1955850,2092360,Basureroes: Invasion Demo
390,808770,2090110,Headspun Demo
391,2068400,2090440,Radiant Cell Demo
392,1408930,2089940,好吃的柯基 Demo
393,1783360,2089950,Meg's Monster Demo
394,1989770,2088390,Chickenoidz Super Party Demo
395,1829170,2087930,NoiseBox.噪音盒子 Demo
396,2059550,2086930,Brain Syndrome VR Demo
397,1971790,2087100,Uligo: A Slime's Hike Demo
398,1580180,2085720,Gunbrella Demo
399,2079410,2085750,The Tsar's Secret Demo
400,1727900,2085050,Cyberpunk Samurai VR Demo
401,1426540,2084400,Angry Cat Demo
402,1602570,2084530,Life as Designed Demo
403,2081760,2084290,The Pale Demo
404,2004960,2081510,Slam and Roll Demo
405,2075110,2081260,Incarnation Demo
406,1956260,2080120,Cities Virtual Reality Demo
407,2072540,2079420,icosi-do Demo
408,2074440,2078870,Master of the Tattooverse Demo
409,1454130,2078440,Ezra's Legacy Demo
410,1461810,2076330,蜀山：初章 Demo
411,1575640,2076190,SOL CRESTA Dramatic Edition Trial Version
412,1635640,2075740,Rhythm Quest Demo
413,1756550,2073860,Code.Breaker() Demo
414,1247290,2073300,GameGuru MAX Demo
415,2071200,2072050,The Bad Kids Demo
416,2072160,2072180,COASTLINE Demo
417,2056990,2069780,MastEr Demo
418,1746030,2068780,Murders on the Yangtze River Demo
419,2007240,2068510,Lil' Horror Stories: The Camp Fire Demo
420,2067270,2068300,Herogue Demo
421,1999140,2067500,Extraneum Demo
422,1970580,2066510,Backpack Hero Demo
423,2052660,2066120,Gorgon's quest Demo
424,2056890,2066180,Court of Crowns Demo
425,2062220,2064990,HEAVENSCAPE Demo
426,2063390,2064920,V.A Proxy Demo
427,2011210,2063980,Angy Demo
428,1097350,2063780,Weird West - The Bounty Hunter Journey
429,2059760,2063410,Elden Gunfire 2 Demo
430,1997270,2063470,PUT PUD Nudli's Adventure Demo
431,2025710,2062290,Koatl el Defensor: Los túneles perdidos Demo
432,2059480,2060300,Interrogation Simulator Demo
433,1851840,2057960,Kitsune Battlemage Demo
434,1791580,2057450,The Lilliput Workshop Demo
435,1919240,2056950,Spelldash Demo
436,1733840,2056010,Yurukill: The Calumniation Games Demo
437,2027810,2055230,DracoFighter Demo
438,1923500,2054840,Twilight's Final Judgement Demo
439,2054180,2054980,KONKORD Demo
440,2009500,2054170,What's Missing? Demo
441,1162860,2053430,Keepsake County Demo
442,1579100,2053510,Dungeon and Gravestone DEMO
443,1827260,2052330,The Lawyer - Episode 1: The White Bag Demo
444,1891550,2051270,The Legend of Mythos Demo
445,1151130,2051610,Dark Chess Demo
446,1822230,2027980,ココロクローバー シーズン1 Demo
447,2017590,2027720,三毫子大冒險 Demo
448,1920840,2026400,Heavy Hearts Demo
449,1829700,2026620,Super Brawl Rush Demo
450,1534000,2026770,Asteroid Arena Demo
451,1707970,2026780,Arafinn Kontor Demo
452,1939700,2026220,G-ZILLA: Return of the Aliens Demo
453,1754250,2025640,We Took That Trip Demo
454,1947810,2025430,Being a Penguin Demo
455,1628120,2024980,Rollers of the Realm: Reunion Demo
456,1155330,2022460,Showgunners Demo
457,1804610,2022660,Recollection Demo
458,2022120,2022130,PieceWars Demo
459,1865060,2021450,14 Minesweeper Variants Demo
460,2014930,2021780,A Last Will and Testament Demo
461,1367710,2021160,Dixotomia Demo
462,1335520,2020200,TAnima Demo
463,1835570,2020230,BioCrisis : Return 2 the Lab Demo
464,973230,2020240,We Who Are About To Die Demo
465,1579330,2019500,of pawns & kings Demo
466,1997300,2019560,Pretty Girls Escape Demo
467,1492730,2019400,DORAEMON STORY OF SEASONS Friends of the Great Kingdom Demo
468,1937720,2018800,Kamifuda Demo
469,1826770,2017710,Alice is Dead: Hearts and Diamonds Demo
470,1174270,2017970,IKO 39 Demo
471,1831830,2017280,Chessarama Demo
472,1764280,2016710,Dungeon of Amber Griffin Demo
473,1291860,2017070,Rough Justice: '84 Demo
474,2017090,2017100,MOONMAN Demo
475,1623520,2016360,TowerOfCards Demo
476,1975790,2015970,VergeWorld Demo
477,1914530,2013890,The D-T.E.A.M. Demo
478,1987550,2013350,Via Mortis Demo
479,1832950,2013410,One More Gate: A Wakfu Legend Demo
480,1632100,2013470,Courier Tale Demo
481,1525640,2012280,The Build And Race Hotrod Game Demo
482,1962130,2012640,CubeLoop Demo
483,1937670,2012130,Melobot - A Last Song Demo
484,1372110,2011600,JoJo's Bizarre Adventure: All-Star Battle R Demo
485,1820570,2011380,Panic Porcupine Demo
486,1283980,2011450,Retro Ride Demo
487,1745700,2010810,Impossible Slasher! Hack and Slash Demo
488,1774630,2010940,Hallowlands Demo
489,1925660,2010230,All Songs Are From The King Demo
490,1858650,2009810,In Sink Demo
491,1213300,2009290,Awaking GODSOUL_Demo
492,1455510,2009440,Dragon's Hoard Demo
493,2008670,2008940,RalphGame Demo
494,1899570,2008620,NUN Demo
495,2007460,2007830,Boralaa Demo
496,1319400,2008190,The Sunny Life Demo
497,1878290,2006590,Project Utgardr demo
498,1941550,2004750,The Coven of Calahree Demo
499,1905900,2003850,King Rabbit - Race Demo
500,1931010,2001550,Spirittea Demo
501,1771130,2001700,OPEN DOOR Demo
502,1495380,2001810,Tricky Machines Demo
503,1346360,2001820,Old Skies Demo
504,849100,2000330,Alaskan Road Truckers Demo
505,1910180,1998480,Ghosts of Hollow Creek Demo
506,1606030,1998740,The Tower of Wowers Demo
507,1867510,1998210,WrestleQuest Demo
508,1492750,1996120,Mega Knockdown Demo
509,1728660,1995970,Rush Rally Origins Demo
510,1525050,1995150,Jerry Wanker and the Quest to get Laid Demo
511,1858120,1994250,Generic RPG Idle Demo
512,1766100,1993490,The Last Hero of Nostalgaia Demo
513,1744760,1993500,The Adventures of Detective Bron Demo
514,1992930,1993070,It's Time Demo
515,1856840,1992510,MaDevil Demo
516,1859910,1992090,Legend of Mortal Demo
517,1776820,1991280,Eniko: Ghosts Of Grace Demo
518,1965800,1991080,Dice Tribes: Ambitions Demo
519,1417360,1989330,Kingdom Chess Demo
520,1842730,1988660,Nightmare: The Lunatic Demo
521,1114950,1986950,Learn Japanese RPG: Hiragana Forbidden Speech Demo
522,1986400,1986410,Echo's Climb Demo
523,1909750,1986140,Last Time I Saw You - Demo
524,1761870,1985280,FLASHOUT 3 Demo
525,1704730,1984700,Vacant Kingdom Demo
526,1958750,1983530,Hexfactory Demo
527,1650570,1983210,Red and White Demo
528,1129360,1983310,Pocket Wheels Demo
529,1175360,1982970,Doomsday Hunters Demo
530,1972440,1982040,Shotgun King: The Final Checkmate Demo
531,1943020,1979770,Escape the Ether Demo
532,1954640,1979150,真空战姬 Demo
533,1781960,1979250,Sigil of the Magi Demo
534,1977770,1977790,Hexes Demo
535,1835470,1977820,Spell Crisis Demo
536,1977450,1977850,Escape From Zombie U:reloaded Demo
537,1790370,1976560,Rogue AI Simulator Demo
538,1975550,1975560,Skystrike: Wings of Justice Demo
539,1646880,1975820,Rumble Runners Demo
540,1748650,1976010,RASKOPNIK: The Trench Warrior Demo
541,1686280,1975190,Strawberry Samurai Demo
542,1432360,1973900,RMaze Demo
543,1970220,1973480,Walk Hero Demo
544,1906470,1972310,Shattered Between Demo
545,1027650,1971860,Supernova Tactics Demo
546,1716810,1970990,Herodes Demo
547,1964970,1970190,Class Five Menorial GAME Demo
548,1781110,1969270,BlockStar VR Demo
549,1415890,1968070,HotRobot Demo
550,1967630,1967730,Survival: Fountain of Youth Demo
551,1957010,1967900,Undead Under Night Rain Demo
552,1934020,1967300,폴라 펭귄 포스트 Demo
553,1952270,1966510,Sai Saga: The Immortal Demo
554,1804980,1966050,Polyfury Demo
555,1960190,1965570,What Lies Between Demo
556,1763030,1964660,Master Key Demo
557,1846710,1964710,KiNoKoe : Tree's Voice Demo
558,1953670,1964730,Quetzal's Call Demo
559,1837690,1964160,Archtower Demo
560,1839090,1964170,Putty Putter Demo
561,1918710,1963090,Investigation Stories : gunsound Demo
562,1963130,1963150,MaryAnneEtte Demo
563,1885500,1961570,Path Of Becoming DEMO Demo
564,1946930,1961140,Ponster 怪武大赛 Demo
565,1959390,1960390,Fear the Spotlight Demo
566,1866320,1960150,Baladins Demo
567,1664240,1960240,Venaitura Demo
568,1550270,1959630,Togges Demo
569,1705620,1959030,EbonSide Demo
570,1669330,1958470,残世界的鸢尾花 Demo
571,1880310,1958090,Oogy: Can You Help Demo
572,1931370,1958180,JellyMen Demo
573,1956840,1957740,P R I S M Demo
574,1858760,1956450,Gem Worlds Demo
575,1511850,1955630,Dungeons Of The Deep Demo
576,1869570,1954140,Black Ink Demo
577,1929350,1952830,Ubel Demo
578,1793440,1952870,Shale Hill Secrets Demo
579,1952550,1952600,Mini Island: Cosmos Demo
580,1745020,1952660,Cleromancy Demo
581,1926720,2320750,The Adventures Of Bryan Scott Demo
582,1603870,2320780,Dad's Dice: History of Legends Demo
583,2201660,2319840,Marabundle Demo
584,2146500,2320120,Unluckily in Love Demo
585,2145530,2318960,Moonflower Demo
586,2262880,2318620,Heli-Cats Demo
587,1494560,2317800,Rogue Voltage Demo
588,1502750,2317280,My Familiar Demo
589,1479850,2316670,Chompy Chomp Chomp Party Demo
590,2196590,2317040,Krytix Demo
591,2403340,2404340,大科学家 Demo
592,2404040,2404050,Echo Bluff Express Demo
593,1924360,2402780,Lil' Guardsman Demo
594,2334280,2402380,Stick to the Plan Demo
595,1996750,2401260,POI: VR Dance Demo
596,2388110,2401520,Murder Cases Demo
597,2304580,2400870,The Abandoned Presence Demo
598,2397690,2400990,Blooby Block Demo
599,2385910,2400330,X Dead Detective Demo
600,2106560,2400470,クロステイルズ Demo
601,2348850,2400150,Ainmora: O Desastre Iminente Demo
602,2371040,2398960,5 Star Fishy Demo
603,2292960,2399030,MDF: Magical Defense Force Demo
604,2393050,2398830,Winterland Demo
605,2266360,2398860,Thumb Tanks Demo
606,2397400,2397410,Unnatural Season 2 Demo
607,2240790,2397660,Sucker for Love: Date to Die For Demo
